frame,scene_id,n_active,n_dets,dt_ns,predict_ns,build_active_ns,cost_matrix_construct_ns,association_solve_ns,update_ns,birth_ns,coast_kill_ns,compact_ns,sort_emit_ns,total_ns
0,0,40,40,42,0,125,0,0,0,6375,0,83,4500,13667
1,1,40,40,41,3375,1458,17667,8416,5250,83,42,41,2875,45833
2,2,40,40,0,3042,333,14084,5334,4625,83,42,0,2667,33834
3,3,40,40,0,2958,333,14084,4792,4625,42,41,42,2541,32750
4,4,40,40,41,2917,292,13958,4667,4666,42,42,41,2625,32166
5,5,40,40,41,2917,334,13875,4625,4625,0,42,42,2541,33375
6,6,40,40,42,2959,334,14041,5750,4625,0,0,0,1459,32208
7,7,40,40,0,2959,375,13875,4542,4625,41,42,42,2541,32000
8,8,40,40,42,2958,333,13916,4459,4625,0,0,0,5667,34917
9,9,40,40,42,3000,1459,14000,4500,4583,0,0,0,2250,32917
10,10,40,40,42,2959,334,13958,4417,4625,0,0,0,2500,31667
11,11,40,40,42,3000,334,14250,4375,4625,41,42,42,2500,32042
12,12,40,40,42,2917,291,14166,5375,4625,0,42,41,2542,36292
13,13,40,40,0,2917,291,14625,5791,4583,42,41,42,2333,33709
14,14,40,40,0,2959,291,14125,4458,4625,0,0,0,1459,30834
15,15,40,40,0,2959,333,13875,4458,4583,0,0,0,2583,31625
16,16,40,40,0,2917,292,13875,4291,4667,41,42,42,1541,30458
17,17,40,40,0,2917,333,14916,4375,4583,0,41,42,2542,32625
18,18,40,40,0,2917,1250,14750,4375,4625,0,0,0,2583,33333
19,19,40,40,84,2958,334,14166,4292,4667,42,41,42,2500,31792
20,20,40,40,42,2958,291,14084,4333,4667,41,42,42,2166,32459
21,21,40,40,0,2959,333,14083,4458,4583,0,0,0,2500,31875
22,22,40,40,41,2958,292,13958,4375,4583,42,41,0,2416,31541
23,23,40,40,41,2958,292,13875,4375,4625,0,0,0,1458,30458
24,24,40,40,42,2958,292,13959,4375,4584,41,42,0,2459,31459
25,25,40,40,0,3000,334,13833,4375,4625,41,42,42,1458,30375
26,26,40,40,42,2958,375,13958,4334,4625,42,42,41,2750,31750
27,27,40,40,41,2958,1209,14000,4375,4584,0,0,0,2125,32041
28,28,40,40,0,2958,334,13833,4333,4625,42,41,42,2500,31333
29,29,40,40,41,2917,334,14000,4375,4583,0,0,0,2500,31583
30,30,40,40,0,2958,250,13916,4333,4625,0,0,0,2500,31500
31,31,40,40,0,2917,291,14041,4333,4667,41,42,42,2416,31625
32,32,40,40,0,2917,292,13916,4375,4583,0,0,0,1458,30458
33,33,40,40,42,2917,291,14125,4334,4584,0,0,0,2709,31917
34,34,40,40,42,2958,334,14375,4334,4709,0,0,0,1417,30958
35,35,40,40,0,2916,333,14125,4333,4625,42,41,42,3000,32208
36,36,40,40,0,2958,1583,14000,4375,4666,0,0,0,2625,33041
37,37,40,40,41,2958,334,13750,5584,4583,0,42,42,2583,32708
38,38,40,40,0,2958,333,14167,4375,4625,42,42,41,5709,36166
39,39,40,40,41,3000,333,13834,4292,4625,0,0,0,15958,44958
40,40,40,40,0,3000,292,14208,4291,4625,0,42,42,5250,34583
41,41,40,40,0,2958,292,14042,4291,4625,42,0,0,1541,30625
42,42,40,40,0,2958,292,13875,4291,4583,0,0,0,5250,34083
43,43,40,40,0,2916,334,13958,4333,4667,41,42,42,1458,30500
44,44,40,40,0,2959,333,13833,4292,4583,0,0,0,2625,31459
45,45,40,40,0,2917,1583,13875,4333,4583,0,0,0,2625,32792
46,46,40,40,42,3125,291,14042,4333,4583,0,0,0,2500,31667
47,47,40,40,42,2916,417,14166,4250,4583,0,0,0,5375,34584
48,48,40,40,0,2959,291,14125,4292,4541,0,0,0,5333,34375
49,49,40,40,41,2958,292,13875,4250,4583,42,42,41,2459,31291
50,50,40,40,0,2958,292,13750,4292,4583,0,0,0,1500,30250
51,51,40,40,0,2916,292,13917,4291,29000,42,42,83,4958,58708
52,52,40,40,0,3250,417,15916,6334,4667,41,42,83,1625,36625
53,53,40,40,0,2958,333,14459,4958,4666,0,41,84,2959,33541
54,54,40,40,0,3000,1792,14792,4584,4625,42,0,0,2750,34542
55,55,40,40,0,2916,333,14792,4541,4750,41,42,42,2583,33000
56,56,40,40,0,2958,292,14667,4375,4750,0,0,0,2542,32500
57,57,40,40,0,2917,291,14333,4333,4584,0,42,41,2292,31625
58,58,40,40,42,2958,291,14042,4292,4666,0,0,0,2583,31834
59,59,40,40,42,3000,334,14375,4292,4584,0,0,0,1542,31000
60,60,40,40,0,2875,292,14000,4292,4667,41,42,42,2625,31666
61,61,40,40,41,2958,334,14209,4333,4583,0,42,42,1458,30666
62,62,40,40,0,2958,334,14125,4333,4625,0,0,0,2791,32083
63,63,40,40,0,2916,1625,14083,4333,4666,42,42,41,2708,33291
64,64,40,40,41,3041,334,14583,4541,4667,41,42,42,2708,32708
65,65,40,40,0,2916,334,14083,4375,4667,0,0,0,2584,31875
66,66,40,40,42,2958,292,14209,4334,4625,0,0,0,5500,34875
67,67,40,40,42,2958,333,14000,4291,4625,0,0,0,5416,34500
68,68,40,40,0,2916,334,14208,4334,4625,42,41,42,1500,30875
69,69,40,40,0,2958,333,14042,4333,4667,41,42,42,2666,31709
70,70,40,40,0,3000,334,14000,4375,4625,41,0,0,1417,30625
71,71,40,40,42,2875,334,14167,4291,4625,42,41,42,2833,32042
72,72,40,40,0,2958,1375,14000,4292,4625,42,41,42,2500,32708
73,73,40,40,42,2958,333,14125,4292,4625,41,42,42,2708,31875
74,74,40,40,41,2958,292,14041,4292,4666,0,0,0,2667,31750
75,75,40,40,0,2917,292,14209,4333,4583,42,41,42,2542,31667
76,76,40,40,42,2916,292,14042,4291,4708,42,42,41,2584,31709
77,77,40,40,0,2917,291,14208,4334,4625,42,42,41,1500,30708
78,78,40,40,41,2917,292,14000,4333,4625,0,0,0,2709,31750
79,79,40,40,0,2917,333,14042,4292,4791,42,42,41,1459,30709
80,80,40,40,0,3000,333,14167,4333,4625,0,0,0,2833,32167
81,81,40,40,42,2917,1625,14250,4542,4666,42,42,41,2667,33542
82,82,40,40,0,2917,291,14167,4292,4625,41,42,0,2292,31542
83,83,40,40,0,2916,334,14959,4542,4666,42,42,41,2792,33125
84,84,40,40,0,2917,291,13000,4333,4708,42,41,42,5542,33792
85,85,40,40,0,2917,291,12958,4333,4667,0,0,0,2167,30334
86,86,40,40,42,2917,291,12792,4334,4584,0,0,41,1542,29333
87,87,40,40,41,2917,291,12875,4500,4750,42,41,42,2583,30791
88,88,40,40,41,2958,292,13166,4500,4625,42,42,41,1459,29875
89,89,40,40,0,2917,333,12750,4334,4625,0,0,0,2542,30417
90,90,40,40,0,3042,1625,13167,4625,4625,0,0,0,2541,32542
91,91,40,40,0,2958,333,12792,4334,4625,42,42,41,2334,30250
92,92,40,40,0,2917,333,13000,4375,4625,42,42,41,2625,30625
93,93,40,40,41,2958,292,13166,4542,4625,0,0,0,2708,31208
94,94,40,40,0,2958,333,12833,4333,4625,42,41,42,2458,30416
95,95,40,40,41,2958,292,12834,4334,4625,42,42,41,1542,29416
96,96,40,40,41,3000,292,12959,4333,4666,42,42,41,11125,39208
97,97,40,40,0,2959,334,13084,4333,4625,42,42,41,1459,29875
98,98,40,40,0,3125,334,12916,4375,4834,41,42,42,2875,31209
99,99,40,40,42,3000,1667,13209,4334,4708,0,0,0,2667,32708
